EARNINGS_VIEW_LVL1,EARNINGS_VIEW_LVL2,EARNINGS_VIEW_LVL3,CALENDAR_YEAR,TRIR,TRIR_P3_PLUS,TRI_CNT,TRI_P3_PLUS_CNT,LTIR,LTIR_EMP,LTIR_CONT,LTI_CNT,POTENTIAL_HURT_LVL3,POTENTIAL_HURT_LVL4,POTENTIAL_HURT_LVL5,POTENTIAL_HURT_TOTAL,ACTUAL_HURT_A3,ACTUAL_HURT_A4,ACTUAL_HURT_TOTAL,SPILLS
Upstream,Upstream LNG,PNG,2019,0.089934,0.000000,6,0,0.000000,0.000000,0.000000,0,3,6,0,9,0,0,0,1
Upstream,Upstream LNG,ALL,2022,0.098241,0.036840,8,3,0.012280,0.000000,0.014406,1,1,8,2,11,0,0,0,1
Upstream,Upstream Deepwater,Eastern Canada,2020,0.091082,0.000000,2,0,0.000000,0.000000,0.000000,0,0,2,0,2,0,0,0,0
Upstream,Upstream Conventional/HO,Norway / Azerbaijan / CNNS,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Nigeria,2023,0.107266,0.053633,3,1,0.053633,0.000000,0.117824,1,0,1,0,1,0,0,0,0
EMPS Energy Products,AM Fuels,AM Fuels - US North,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
ALL,ALL,ALL,2021,0.155433,0.014081,287,26,0.023830,0.023691,0.023927,44,115,131,15,261,0,1,1,210
ALL,ALL,ALL,2023,0.153045,0.013847,218,19,0.022592,0.011290,0.029736,32,72,92,0,164,2,1,3,128
Upstream,Upstream Unconventional,Delaware,2019,0.496100,0.028081,53,3,0.056162,1.032421,0.038133,6,6,5,1,12,0,0,0,74
Upstream,Upstream LNG,Qatar,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,AP Fuels,AP Fuels - AP,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Kazakhstan,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Brazil,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,PNG,2022,0.100883,0.037831,8,3,0.012610,0.000000,0.014649,1,1,8,2,11,0,0,0,1
Upstream,Upstream Deepwater,Angola,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,3,1,1,5,0,0,0,0
Upstream,Upstream Deepwater,Guyana,2022,0.140818,0.015646,9,1,0.015646,0.000000,0.016453,1,0,3,0,3,0,0,0,1
EMPS Other,ALL,ALL,2023,0.147257,0.011687,67,5,0.021037,0.004684,0.037323,9,46,44,0,90,1,0,1,17
EMPS Energy Products,AM Fuels,AM Fuels - Canada,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,US Conventional,2020,0.415824,0.000000,6,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,7
EMPS Energy Products,Global,ALL,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Chad,2019,0.090862,0.060575,3,2,0.030287,0.000000,0.035510,1,4,2,0,6,0,0,0,1
EMPS Energy Products,Global,ALL,2023,0.077993,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Iraq,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
ALL,ALL,ALL,2022,0.153325,0.010186,284,19,0.022516,0.027839,0.019182,42,82,90,6,178,2,3,5,213
Upstream,Upstream Conventional/HO,Vietnam,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Specialty Products,Finished Lubes,FL NAP MBU,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,AM Fuels,AM Fuels - Canada,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Indonesia,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Specialty Products,Finished Lubes,FL LA MBU,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,Mozambique,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,ALL,ALL,2022,0.206402,0.016512,149,12,0.031648,0.053551,0.025059,23,16,31,4,51,1,2,3,178
Upstream,Upstream Unconventional,Bakken,2019,0.634355,0.111945,17,3,0.186575,0.000000,0.203140,5,3,3,0,6,1,0,1,19
EMPS Specialty Products,Finished Lubes,FL EAME MBU,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Unconventional,Midland CBP,2023,0.295705,0.000000,9,0,0.000000,0.000000,0.000000,0,0,3,0,3,0,0,0,19
Upstream,Upstream Conventional/HO,Europe Opt & Trading,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,AP Fuels,AP Fuels - AP,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Other,ALL,ALL,2020,0.132415,0.011586,80,7,0.019862,0.015567,0.024738,12,140,80,0,220,0,0,0,41
Upstream,Upstream Conventional/HO,Malaysia / Thailand,2019,0.103829,0.000000,8,0,0.000000,0.000000,0.000000,0,1,3,0,4,0,0,0,1
EMPS Specialty Products,Finished Lubes,FL NAP MBU,2021,0.225847,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,Qatar,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Guyana,2020,0.056104,0.000000,2,0,0.000000,0.000000,0.000000,0,1,1,0,2,0,0,0,0
EMPS Energy Products,EAME Fuels,EAME Fuels - EAME Trading,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,EAME other,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,AM Fuels,AM Fuels - US South,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,ALL,2019,0.084583,0.005639,15,1,0.005639,0.029031,0.000000,1,3,7,2,12,0,0,0,0
Upstream,Upstream Deepwater,Brazil,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Abu Dhabi,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Malaysia / Thailand,2020,0.091043,0.000000,7,0,0.000000,0.000000,0.000000,0,3,2,0,5,0,0,0,0
EMPS Other,Out of scope,Out of scope,2021,0.160387,0.028138,57,10,0.033766,0.018252,0.047116,12,51,73,11,135,0,0,0,34
Upstream,Upstream Unconventional,Midland CBP,2021,0.256226,0.000000,7,0,0.036604,0.205417,0.000000,1,0,1,0,1,0,0,0,46
Upstream,Upstream Conventional/HO,Europe Opt & Trading,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Unconventional,Eastern,2019,0.374692,0.018735,20,1,0.037469,0.044017,0.032617,2,0,3,0,3,0,0,0,21
Upstream,Upstream Deepwater,Nigeria,2020,0.148933,0.074467,6,3,0.074467,0.129790,0.040198,3,1,0,3,4,1,1,2,2
EMPS Energy Products,EAME Fuels,EAME Fuels - EAME Trading,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Unconventional,Argentina,2022,0.676465,0.000000,2,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,2
EMPS Specialty Products,Finished Lubes,FL SAP MBU,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Specialty Products,Finished Lubes,FL NA MBU,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,EAME Fuels,EAME Fuels - FUNM,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Specialty Products,Finished Lubes,FL SAP MBU,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,NA Other,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,ALL,2019,0.194447,0.015645,87,7,0.031290,0.036985,0.029475,14,14,18,0,32,0,0,0,9
Upstream,Upstream Deepwater,NA Other,2022,200000.000000,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,AM Fuels,AM Fuels - Canada,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,US Conventional,2021,0.189051,0.000000,2,0,0.000000,0.000000,0.000000,0,0,1,0,1,0,0,0,0
Upstream,Upstream Conventional/HO,Kazakhstan,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Romania,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Out of scope,Out of scope,2021,0.104207,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Unconventional,Eastern,2022,0.200878,0.033480,6,1,0.066959,0.082125,0.056522,2,0,2,0,2,0,1,1,9
Upstream,Upstream Deepwater,ALL,2022,0.154347,0.018522,25,3,0.043217,0.096837,0.030536,7,0,7,1,8,0,0,0,3
Upstream,Upstream Conventional/HO,US Conventional,2022,0.201450,0.000000,2,0,0.100725,0.222152,0.000000,1,1,1,0,2,0,0,0,1
Upstream,Upstream Conventional/HO,Sakhalin,2019,0.065751,0.000000,7,0,0.009393,0.000000,0.010522,1,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Chad,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Netherlands / SNS,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Unconventional,Canada Unconventional,2020,0.491498,0.491498,1,1,0.491498,0.000000,0.491498,1,0,1,0,1,0,0,0,1
EMPS Specialty Products,Other,ALL,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,1,0,1,2,0,0,0,0
Upstream,Upstream Deepwater,Angola,2021,0.215618,0.043124,5,1,0.000000,0.000000,0.000000,0,1,3,0,4,0,0,0,0
Upstream,Upstream Unconventional,Central,2020,0.365244,0.036524,10,1,0.073049,0.082616,0.065467,2,1,2,0,3,0,0,0,44
EMPS Other,ALL,ALL,2022,0.133571,0.009025,74,5,0.019855,0.027994,0.011184,11,41,43,2,86,1,1,2,33
Upstream,Upstream LNG,PNG,2020,0.060574,0.000000,4,0,0.000000,0.000000,0.000000,0,6,4,0,10,0,0,0,4
Upstream,Upstream Conventional/HO,Chad,2022,0.090497,0.000000,3,0,0.030166,0.000000,0.036824,1,2,0,0,2,0,0,0,0
Upstream,Upstream Conventional/HO,Germany,2023,0.466677,0.155559,4,1,0.155559,0.000000,0.272831,1,1,2,0,3,0,0,0,0
EMPS Specialty Products,Finished Lubes,FL LA MBU,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Eastern Canada,2021,0.780408,0.086712,9,1,0.000000,0.000000,0.000000,0,1,1,0,2,0,0,0,0
Upstream,Upstream LNG,Mozambique,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Sakhalin,2020,0.036554,0.012185,3,1,0.024370,0.000000,0.028130,2,3,1,0,4,0,0,0,0
Supply Chain Central Org.,Supply Chain Central Org.,Supply Chain Central Org.,2022,0.248699,0.082900,3,1,0.082900,0.206114,0.000000,1,1,0,0,1,0,0,0,0
Upstream,Out of scope,Out of scope,2019,0.118451,0.000000,2,0,0.000000,0.000000,0.000000,0,1,0,0,1,0,0,0,0
Upstream,Upstream Conventional/HO,Imperial Oil / Canada West,2022,0.330199,0.000000,31,0,0.010652,0.023613,0.000000,1,4,2,0,6,0,0,0,3
Upstream,Upstream LNG,Qatar,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,AP other,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,AP Fuels,AP Fuels - AP,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,1
Upstream,Upstream Deepwater,Brazil,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,1,0,1,0,0,0,0
Upstream,Upstream LNG,Australia LNG,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Iraq,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Netherlands / SNS,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Other,Out of scope,Out of scope,2023,0.162926,0.003789,46,1,0.015156,0.008662,0.020205,4,29,32,0,61,1,0,1,13
EMPS Specialty Products,Finished Lubes,FL LA MBU,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,ALL,2021,0.028475,0.000000,2,0,0.000000,0.000000,0.000000,0,3,4,0,7,0,0,0,0
Upstream,Upstream Deepwater,Guyana,2019,0.134421,0.000000,4,0,0.000000,0.000000,0.000000,0,1,0,0,1,0,0,0,0
EMPS Chem Products,Other,Other Chem,2021,0.144456,0.005556,26,1,0.027780,0.043545,0.011347,5,17,18,0,35,0,0,0,3
Upstream,Upstream Deepwater,Romania,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Equatorial Guinea,2019,0.124750,0.041583,3,1,0.000000,0.000000,0.000000,0,1,1,0,2,0,0,0,0
EMPS Energy Products,EAME Fuels,EAME Fuels - EAME BNLG,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,EAME Fuels,EAME Fuels - EAME Trading,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Angola,2019,0.037241,0.000000,1,0,0.000000,0.000000,0.000000,0,0,4,1,5,0,0,0,0
Upstream,Upstream Conventional/HO,Vietnam,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Unconventional,ALL,2022,0.458266,0.045075,60,6,0.075126,0.065680,0.077927,10,6,12,1,19,1,2,3,169
EMPS Energy Products,EAME Fuels,EAME Fuels - FUNM,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Supply Chain Central Org.,Supply Chain Central Org.,Supply Chain Central Org.,2019,0.141582,0.000000,1,0,0.141582,0.000000,0.379249,1,1,0,0,1,0,0,0,0
EMPS Other,Out of scope,Out of scope,2020,0.170658,0.015753,65,6,0.026255,0.022903,0.029094,10,59,65,0,124,0,0,0,36
Upstream,Upstream Conventional/HO,Australia Conventional,2022,0.621906,0.000000,13,0,0.095678,0.324381,0.000000,2,0,0,0,0,0,0,0,0
EMPS Specialty Products,Other,ALL,2021,0.112816,0.000000,3,0,0.037605,0.041462,0.000000,1,0,0,0,0,0,0,0,0
EMPS Energy Products,AP Fuels,AP Fuels - AP,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,PNG,2023,0.015622,0.000000,1,0,0.000000,0.000000,0.000000,0,0,3,0,3,0,0,0,1
EMPS Energy Products,EAME Fuels,EAME Fuels - EAME BNLG,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Sakhalin,2022,0.017011,0.000000,1,0,0.000000,0.000000,0.000000,0,1,0,0,1,0,0,0,0
Upstream,Upstream Conventional/HO,Malaysia / Thailand,2021,0.013714,0.000000,1,0,0.000000,0.000000,0.000000,0,1,2,1,4,0,0,0,0
Supply Chain Central Org.,Supply Chain Central Org.,Supply Chain Central Org.,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,1,0,0,1,0,0,0,0
Out of scope,Out of scope,Out of scope,2019,0.162529,0.019960,114,14,0.028514,0.029297,0.027903,20,66,33,9,108,1,0,1,1
Upstream,Upstream Conventional/HO,US Conventional,2023,0.211433,0.000000,2,0,0.105716,0.313101,0.000000,1,0,4,0,4,0,0,0,1
Upstream,Upstream Unconventional,Eastern,2023,0.132371,0.000000,3,0,0.000000,0.000000,0.000000,0,0,1,0,1,0,0,0,8
EMPS Energy Products,AP Fuels,AP Fuels - AP,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,1,0,0,1,0,0,0,3
Supply Chain Central Org.,Supply Chain Central Org.,Supply Chain Central Org.,2021,0.264547,0.000000,2,0,0.000000,0.000000,0.000000,0,0,1,0,1,0,0,0,0
Upstream,Upstream Conventional/HO,Vietnam,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Specialty Products,Finished Lubes,FL SAP MBU,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Nigeria,2021,0.160130,0.000000,5,0,0.032026,0.000000,0.064824,1,1,1,0,2,0,0,0,1
EMPS Energy Products,EAME Fuels,EAME Fuels - FUNM,2023,0.560276,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Europe Opt & Trading,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Unconventional,Bakken,2021,0.600367,0.200122,6,2,0.000000,0.000000,0.000000,0,2,0,0,2,0,0,0,9
Upstream,Upstream Deepwater,Eastern Canada,2019,0.180697,0.000000,4,0,0.000000,0.000000,0.000000,0,0,1,1,2,0,0,0,0
Upstream,Upstream Conventional/HO,Malaysia / Thailand,2023,0.041749,0.020874,2,1,0.020874,0.000000,0.027033,1,0,2,0,2,0,1,1,0
Upstream,Upstream LNG,PNG,2021,0.029371,0.000000,2,0,0.000000,0.000000,0.000000,0,3,4,0,7,0,0,0,0
EMPS Energy Products,EAME Fuels,EAME Fuels - EAME Trading,2022,0.650072,0.000000,1,0,0.650072,0.654489,0.000000,1,0,0,0,0,0,0,0,0
EMPS Specialty Products,Finished Lubes,FL LA MBU,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,Mozambique,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Abu Dhabi,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,EAME other,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,NA,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Specialty Products,Finished Lubes,FL NA MBU,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Out of scope,Out of scope,Out of scope,2023,0.087804,0.008780,41,4,0.004390,0.000000,0.007725,3,12,17,0,29,0,0,0,0
Upstream,Out of scope,Out of scope,2020,0.150588,0.000000,2,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Unconventional,ALL,2019,0.546956,0.050586,172,16,0.079040,0.082514,0.078411,25,28,22,1,51,2,1,3,280
Upstream,Upstream Unconventional,Argentina,2019,0.611215,0.076402,8,1,0.076402,0.000000,0.083168,1,4,2,0,6,0,0,0,3
Upstream,Upstream Deepwater,Romania,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Unconventional,Bakken,2020,0.329685,0.000000,5,0,0.000000,0.000000,0.000000,0,0,3,0,3,0,0,0,4
Upstream,Upstream LNG,EAME other,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Guyana,2023,0.147244,0.042070,7,2,0.042070,0.000000,0.044664,2,3,1,0,4,0,0,0,0
Upstream,Upstream Conventional/HO,Netherlands / SNS,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Germany,2022,0.136668,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,AP other,2019,4.516916,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,Mozambique,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,ALL,2023,0.015259,0.000000,1,0,0.000000,0.000000,0.000000,0,0,3,0,3,0,0,0,1
EMPS Specialty Products,Other,ALL,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,AM Fuels,AM Fuels - US North,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Europe Opt & Trading,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
